Transcription factor,ensembl_id,UniProt AC,pwm_id,SEM,baseline,cell_type,chip_ENCODE_accession,dnase_ENCODE_accession
ESRRA,ENSG00000173153,P11474,ERR1_HUMAN.H11MO.0.A,ERR1_HUMAN.K562.sem,0.339510002,K562,ENCFF365EJL,ENCFF274YGF
ESR1,ENSG00000091831,P03372,ESR1_HUMAN.H11MO.0.A,ESR1_HUMAN.MCF-7.sem,0.145801963,MCF-7,ENCFF746RVZ,ENCFF835KCG
ETS1,ENSG00000134954,P14921,ETS1_HUMAN.H11MO.0.A,ETS1_HUMAN.GM12878.sem,0.425161096,GM12878,ENCFF686FAA,ENCFF759OLD
ETS1,ENSG00000134954,P14921,ETS1_HUMAN.H11MO.0.A,ETS1_HUMAN.HepG2.sem,0.822079914,HepG2,ENCFF013DGI,ENCFF897NME
ETS1,ENSG00000134954,P14921,ETS1_HUMAN.H11MO.0.A,ETS1_HUMAN.K562.sem,0.760426079,K562,ENCFF490BCW,ENCFF274YGF
ETV1,ENSG00000006468,P50549,ETV1_HUMAN.H11MO.0.A,ETV1_HUMAN.K562.sem,0.272311829,K562,ENCFF652ZLV,ENCFF274YGF
ETV4,ENSG00000175832,P43268,ETV4_HUMAN.H11MO.0.B,ETV4_HUMAN.HepG2.sem,0.339952783,HepG2,ENCFF748QBK,ENCFF897NME
ETV5,ENSG00000244405,P41161,ETV5_HUMAN.H11MO.0.C,ETV5_HUMAN.HepG2.sem,0.361670779,HepG2,ENCFF051QUK,ENCFF897NME
ETV5,ENSG00000244405,P41161,ETV5_HUMAN.H11MO.0.C,ETV5_HUMAN.K562.sem,0.364631345,K562,ENCFF219CMY,ENCFF274YGF
MECOM,ENSG00000085276,Q03112,EVI1_HUMAN.H11MO.0.B,EVI1_HUMAN.K562.sem,0.483744667,K562,ENCFF113JYQ,ENCFF274YGF
